energy,tempo,danceability,loudness,liveness,valence,instrumentalness,speechiness,acousticness,track_popularity,track_name,track_artist,track_album_name,track_album_release_date,playlist_genre,playlist_subgenre,mode,key
0.746,132.31,0.636,-3.785,0.173,0.432,0.29,0.0393,0.0648,23,Fortunate Son,Creedence Clearwater Revival,The Long Road Home - The Ultimate John Fogerty / Creedence Collection,2005-12-14,rock,classic,1.0,0.0
0.835,129.981,0.572,-6.219,0.0702,0.795,0.000377,0.0317,0.171,53,Jump - 2015 Remaster,Van Halen,The Collection,2015-03-27,rock,classic,1.0,0.0
0.804,111.457,0.591,-7.299,0.0818,0.658,5.98e-06,0.0454,0.327,55,Edge of Seventeen - 2016 Remaster,Stevie Nicks,Bella Donna (Deluxe Edition),2016-11-04,rock,classic,1.0,0.0
0.104,76.474,0.443,-17.042,0.191,0.394,0.0,0.101,0.913,64,Dream A Little Dream Of Me - Single Version,"Ella Fitzgerald, Louis Armstrong","Love, Ella",2007-05-03,jazz,classic,1.0,0.0
0.472,80.487,0.685,-9.691,0.224,0.475,0.284,0.0298,0.785,62,Coffee Cold,Galt MacDermot,Shapes of Rhythm/Woman Is Sweeter,2000-01-01,jazz,classic,0.0,9.0
0.365,119.347,0.67,-10.158,0.0575,0.45,0.0,0.0566,0.525,61,Fly Me To The Moon,"Frank Sinatra, Count Basie",Ultimate Sinatra,2015-04-17,jazz,classic,1.0,0.0
0.264,122.482,0.663,-14.571,0.1,0.657,0.0,0.0914,0.706,60,Cheek To Cheek,"Ella Fitzgerald, Louis Armstrong",The Complete Ella And Louis On Verve,1997-05-20,jazz,classic,1.0,0.0
0.222,156.364,0.525,-11.065,0.051,0.645,0.0799,0.0373,0.836,55,Stompin At The Savoy,Benny Goodman,B. G. In Hi Fi,1990-01-01,jazz,classic,0.0,10.0
0.0619,60.705,0.336,-20.494,0.11,0.197,0.891,0.0363,0.985,54,Alone Together - Rudy Van Gelder Remaster 2006,Kenny Dorham,Quiet Kenny,1992-01-01,jazz,classic,0.0,5.0
0.671,127.359,0.742,-8.142,0.122,0.591,0.00441,0.0407,0.794,53,Song For My Father,Horace Silver,Song For My Father,1999-01-01,jazz,classic,0.0,5.0
0.0422,130.436,0.519,-10.778,0.124,0.397,0.929,0.0537,0.966,53,My Romance - Remastered 2006,Gene Ammons,Boss Tenor (RVG Remasters / Remastered 2006),2006-03-21,jazz,classic,1.0,1.0
0.113,95.063,0.659,-16.756,0.179,0.738,0.88,0.0569,0.976,53,Body and Soul,Coleman Hawkins,Body & Soul,1996-05-21,jazz,classic,0.0,10.0
0.159,59.385,0.505,-11.235,0.212,0.196,0.0127,0.0336,0.946,52,Journey Into Melody - 2007 Digital Remaster/Rudy Van Gelder Edition,Stanley Turrentine,Look Out! (Remastered),2007-01-01,jazz,classic,0.0,7.0
0.0917,95.068,0.517,-18.395,0.108,0.0836,0.629,0.0336,0.876,50,Where We Used to Live,Esbjörn Svensson Trio,Tuesday Wonderland,2006-09-22,jazz,classic,1.0,0.0
0.195,133.918,0.412,-10.288,0.106,0.0778,0.709,0.0331,0.9,49,Ruby My Dear,Roy Hargrove,Approaching Standards,1994-08-16,jazz,classic,1.0,8.0
0.42,147.143,0.417,-13.046,0.185,0.517,0.00111,0.06,0.186,49,Giant Steps - 2020 Remaster,John Coltrane,Giant Steps (60th Anniversary Super Deluxe Edition) [2020 Remaster],2020-09-18,jazz,classic,0.0,0.0
0.273,63.423,0.517,-17.279,0.979,0.321,0.774,0.0627,0.866,49,Besame Mucho,Dave Brubeck,On Time,2001-04-02,jazz,classic,0.0,10.0
0.237,126.222,0.477,-17.115,0.0974,0.178,0.901,0.0321,0.947,49,It Ain't Necessarily So,Mary Lou Williams,Gilles Peterson - Magic Peterson Sunshine,2016-04-15,jazz,classic,0.0,4.0
0.126,133.998,0.234,-25.427,0.102,0.216,0.896,0.0446,0.989,60,"The Well-Tempered Clavier, Book 1, BWV 846-869 / Prelude & Fugue in C Major, BWV 846: I. Prelude","Johann Sebastian Bach, Lang Lang",Piano Book (Deluxe Edition),2019-03-29,classical,essential,1.0,0.0
0.0306,125.61,0.289,-30.79,0.102,0.118,0.911,0.0446,0.987,63,"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""","Ludwig van Beethoven, Igor Levit","Für Elise, Bagatelle No. 25 in A Minor, WoO 59",2015,classical,essential,0.0,9.0
0.0161,128.143,0.169,-31.034,0.0805,0.0573,0.86,0.0442,0.986,65,"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)","Camille Saint-Saëns, Yo-Yo Ma, Kathryn Stott",Songs from the Arc of Life,2015-09-18,classical,essential,0.0,9.0
0.0336,67.359,0.0939,-24.041,0.0954,0.0516,0.83,0.0606,0.927,63,"Handel / Orch. Hale: Keyboard Suite No. 4 in D Minor, HWV 437: III. Sarabande","George Frideric Handel, Alexander Briger, Academy of St. Martin in the Fields",Handel Sarabande,2002,classical,essential,0.0,2.0
0.00501,68.947,0.32,-33.366,0.0618,0.0383,0.919,0.0455,0.993,65,"Suite bergamasque, L. 75: III. Clair de lune","Claude Debussy, Alice Sara Ott","Debussy: Suite bergamasque, L. 75, 3. Clair de lune",2018-07-27,classical,essential,1.0,1.0
0.00579,71.827,0.376,-31.615,0.0882,0.0369,0.944,0.0576,0.996,62,Gnossienne No. 1,"Erik Satie, Alena Cherny",Gnossienne No. 1,2013,classical,essential,0.0,5.0
